id,name,highway,oneway,defect_class,severity,tiger_reviewed,tiger_cfcc,tiger_name_base,surface,lanes,maxspeed
19067603,Camargo Canyon Drive,residential,,B,HIGH,no,A41,Camargo Canyon,paving_stones,,
19068621,Camargo Canyon Drive,residential,,B,HIGH,no,A41,Camargo Canyon,paving_stones,,
1138186266,Camargo Canyon Drive,residential,,B,HIGH,no,A74,Camargo Canyon,,,
19067130,Camargo Road,secondary,,B,HIGH,no,A41,Camargo,,2,45 mph
19072049,Camargo Road,tertiary,,B,HIGH,no,A41,Camargo,,,
27499242,Camargo Road,tertiary,,B,HIGH,no,A41,Camargo,,,
27499243,Camargo Road,tertiary,,B,HIGH,no,A41,Camargo,,,
291771624,Camargo Road,secondary,,B,HIGH,no,A41,Camargo,,2,25 mph
570461801,Camargo Road,secondary,,B,HIGH,no,A41,Camargo,,3,25 mph
570461802,Camargo Road,secondary,,B,HIGH,no,A41,Camargo,,3,25 mph
570461804,Camargo Road,secondary,,B,HIGH,no,A41,Camargo,asphalt,2,25 mph
19059983,Canterbury Avenue,residential,,B,HIGH,no,A41,Canterbury,,,
749704011,Canterbury Avenue,residential,,B,HIGH,no,A41,Canterbury,,,
19068077,Chapman Street,residential,,B,HIGH,no,A41,Chapman,,,
714943562,Chapman Street,residential,,B,HIGH,no,A41,Chapman,,,
19062344,Charles Field Lane,residential,,B,HIGH,no,A41,Charles Field,,,
110360837,Chimney Hill Drive,residential,,B,HIGH,no,A41,Chimney Hill,,,
19065924,Commons Road,residential,,B,HIGH,no,A41,Commons,,,
34188692,Commons Road,residential,,B,HIGH,no,A41,Commons,,,
322843748,Commons Road,residential,,B,HIGH,no,A41,Commons,,,
322843749,Commons Road,residential,,B,HIGH,no,A41,Commons,,,
322843799,Commons Road,residential,,B,HIGH,no,A41,Commons,,,
19064108,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,,25 mph
28162996,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph
28162997,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph
292927566,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,
372939678,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
372939680,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
372939682,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph
431505208,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,4,25 mph
431505209,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph
431586091,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080894,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph
549080895,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080896,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080899,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,4,25 mph
549080900,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph
549080907,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph
549080908,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080909,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph
549080910,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080911,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080912,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080916,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph
549080917,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph
549080918,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080919,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080920,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080923,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph
549080924,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080925,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080926,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph
549080934,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080935,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080936,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph
549080937,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080938,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,4,25 mph
549080940,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph
549080941,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph
549080942,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080943,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080944,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080947,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080950,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080951,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080953,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080954,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080955,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080956,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080957,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080958,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph
549080962,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080963,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph
549080970,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080971,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
549080980,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph
552932651,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph
552932653,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
552932662,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
552932663,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph
552932664,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
552932665,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph
552992262,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
552992263,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph
552992264,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph
552992265,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
553022293,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph
553022294,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
553022300,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,2,25 mph
553022301,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
737240602,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
745343982,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
745343983,Cooper Road,tertiary,,B,HIGH,no,A31,Cooper,,3,25 mph
19056472,Cypress Way,residential,,B,HIGH,no,A41,Cypress,,,
22768563,Cypress Way,residential,,B,HIGH,no,A41,Cypress,,,
19053977,Dahlgren Street,residential,,B,HIGH,no,A41,Dahlgren,,,
1239403471,Dahlgren Street,residential,,B,HIGH,no,A41,Dahlgren,,,
638948925,Darnell Avenue,residential,,B,HIGH,no,A41,Darnell,,,
19052353,Davenant Avenue,residential,,B,HIGH,no,A41,Davenant,,,
19052355,Davenant Avenue,residential,,B,HIGH,no,A41,Davenant,,,
19056914,Dawson Road,tertiary,,B,HIGH,no,A41,Dawson,,3,25 mph
570461750,Dawson Road,tertiary,,B,HIGH,no,A41,Dawson,,2,25 mph
570461797,Dawson Road,tertiary,,B,HIGH,no,A41,Dawson,asphalt,2,25 mph
727566621,Dawson Road,tertiary,,B,HIGH,no,A41,Dawson,,2,25 mph
919222426,Dawson Road,tertiary,,B,HIGH,no,A41,Dawson,,2,25 mph
19053543,Decima Street,residential,,B,HIGH,no,A41,Decima,,,
19053544,Decima Street,residential,,B,HIGH,no,A41,Decima,,,
19053545,Decima Street,residential,,B,HIGH,no,A41,Decima,,,
1348333340,Decima Street,residential,,B,HIGH,no,A41,Decima,,,
19063431,Deer Crossing Lane,residential,,B,HIGH,no,A41,Deer Crossing,,,
761147689,Deer Crossing Lane,residential,,B,HIGH,no,A41,Deer Crossing,,,
19069706,Deer Park Avenue,residential,,B,HIGH,no,A41,Deer Park,,,
1149015127,Deer Park Avenue,residential,,B,HIGH,no,A41,Deer Park,,,
372671753,Deercross Parkway,residential,,B,HIGH,no,A41,Deercross,,,
19060582,Desmond Street,residential,,B,HIGH,no,A41,Desmond,,,
33871120,Desmond Street,residential,,B,HIGH,no,A41,Desmond,,,
919625046,Desmond Street,residential,,B,HIGH,no,A41,Desmond,,,
919625047,Desmond Street,residential,,B,HIGH,no,A41,Desmond,,,
19054713,Disney Avenue,tertiary,,B,HIGH,no,A41,Disney,,4,
298551126,Disney Avenue,service,yes,B,HIGH,no,A41,Disney,,,
535706283,Disney Avenue,tertiary,,B,HIGH,no,A41,Disney,,3,
535706285,Disney Avenue,tertiary,,B,HIGH,no,A41,Disney,,3,
535706290,Disney Avenue,tertiary,,B,HIGH,no,A41,Disney,asphalt,3,
535706296,Disney Avenue,residential,,B,HIGH,no,A41,Disney,,3,
745244792,Disney Avenue,service,,B,HIGH,no,A41,Disney,,,
1390381064,Disney Avenue,tertiary,,B,HIGH,no,A41,Disney,,4,
1390381065,Disney Avenue,tertiary,,B,HIGH,no,A41,Disney,,3,
19061817,Donna Lane,residential,,B,HIGH,no,A41,Donna,,,
19055309,Dot Avenue,service,,B,HIGH,no,A41,Dot,,,
739503540,Dot Avenue,residential,,B,HIGH,no,A41,Dot,,,
19053345,Dot Drive,residential,,B,HIGH,no,A41,Dot,,,
19053347,Dot Drive,residential,,B,HIGH,no,A41,Dot,,,
19062860,Douglas Terrace,residential,,B,HIGH,no,A41,Douglas,,,
852349237,Douglas Terrace,residential,,B,HIGH,no,A41,Douglas,,,
19057387,Duck Creek Road,tertiary,yes,B,HIGH,no,A41,Duck Creek,,2,35 mph
19057392,Duck Creek Road,service,,B,HIGH,no,A41,,,,
33871087,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,,4,35 mph
61359300,Duck Creek Road,tertiary,no,B,HIGH,no,A41,Duck Creek,,3,35 mph
77516709,Duck Creek Road,service,,B,HIGH,no,A41,Duck Creek,,,
292915215,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,asphalt,5,35 mph
535717332,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,asphalt,5,35 mph
535717333,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,asphalt,5,35 mph
543731988,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,,4,35 mph
543731991,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,,6,35 mph
545947739,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,,2,35 mph
545947740,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,,3,35 mph
545947741,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,,3,35 mph
545947742,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,,2,35 mph
545947743,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,,3,35 mph
545947744,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,,2,35 mph
545947745,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,,3,35 mph
545947746,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,,3,35 mph
545947747,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,,2,35 mph
545947748,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,,3,35 mph
545947749,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,,3,35 mph
545947750,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,,2,35 mph
545947752,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,asphalt,3,35 mph
545947753,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,asphalt,2,35 mph
545947754,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,asphalt,3,35 mph
545947755,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,asphalt,2,35 mph
545947760,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,asphalt,3,35 mph
545947761,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,asphalt,4,35 mph
545947762,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,asphalt,4,35 mph
545947764,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,asphalt,5,35 mph
545947765,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,asphalt,4,35 mph
545947766,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,asphalt,5,35 mph
545947767,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,asphalt,4,35 mph
564229995,Duck Creek Road,tertiary,yes,B,HIGH,no,A41,Duck Creek,,2,35 mph
737201324,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,,3,35 mph
737201325,Duck Creek Road,tertiary,,B,HIGH,no,A41,Duck Creek,,3,35 mph
19070434,Duneden Avenue,residential,,B,HIGH,no,A41,Duneden,,,
654859930,Duneden Avenue,residential,,B,HIGH,no,A41,Duneden,,,
19057157,Dunloe Avenue,residential,,B,HIGH,no,A41,Dunloe,,,
19057159,Dunloe Avenue,residential,,B,HIGH,no,A41,Dunloe,,,
1327583519,Dunloe Avenue,service,,B,HIGH,no,A41,Dunloe,,,
618557788,Duramed Road,service,,B,HIGH,no,A41,Duramed,,,
1258708011,Duramed Road,residential,,B,HIGH,no,A41,Duramed,,,
19064318,East,residential,,B,HIGH,no,A41,East,,,
669489740,East,residential,,B,HIGH,no,A41,East,,3,
19069326,East Benson Avenue,tertiary,,B,HIGH,no,A41,Benson,,2,20 mph
744812816,East Benson Avenue,tertiary,,B,HIGH,no,A41,Benson,,3,20 mph
19071439,East Columbia Avenue,secondary,,B,HIGH,no,A41,Columbia,,4,25 mph
529042230,East Columbia Avenue,secondary,,B,HIGH,no,A41,Columbia,,3,25 mph
553022332,East Columbia Avenue,secondary,,B,HIGH,no,A41,Columbia,,4,25 mph
553022374,East Columbia Avenue,secondary,,B,HIGH,no,A41,Columbia,,2,25 mph
553022428,East Columbia Avenue,secondary,,B,HIGH,no,A41,Columbia,,2,25 mph
672532566,East Columbia Avenue,secondary,,B,HIGH,no,A41,Columbia,,3,25 mph
1380125486,East Columbia Avenue,secondary,,B,HIGH,no,A41,Columbia,,2,25 mph
1422966354,East Columbia Avenue,secondary,,B,HIGH,no,A41,Columbia,,3,25 mph
1422966355,East Columbia Avenue,secondary,,B,HIGH,no,A41,Columbia,,3,25 mph
1499850386,East Columbia Avenue,secondary,,B,HIGH,no,A41,Columbia,,2,25 mph
19066346,East Crest Drive,residential,,B,HIGH,no,A41,Crest,,,25 mph
672424952,East Crest Drive,service,no,B,HIGH,no,A41,Crest,unpaved,,5 mph
233375767,East Galbraith Road,secondary,,B,HIGH,no,A41,Galbraith,asphalt,3,35 mph
233378154,East Galbraith Road,secondary,,B,HIGH,no,A41,Galbraith,asphalt,4,35 mph
249575158,East Galbraith Road,secondary,,B,HIGH,no,A41,Galbraith,asphalt,3,25 mph
270653607,East Galbraith Road,secondary,,B,HIGH,no,A41,Galbraith,,2,25 mph
292927265,East Galbraith Road,secondary,,B,HIGH,no,A41,Galbraith,asphalt,4,25 mph
292931507,East Galbraith Road,secondary,,B,HIGH,no,A41,Galbraith,,2,35 mph
533109294,East Galbraith Road,secondary,,B,HIGH,no,A41,Galbraith,,2,35 mph
535831183,East Galbraith Road,secondary,,B,HIGH,no,A41,Galbraith,asphalt,3,35 mph
535831184,East Galbraith Road,secondary,,B,HIGH,no,A41,Galbraith,asphalt,3,35 mph
535831185,East Galbraith Road,secondary,,B,HIGH,no,A41,Galbraith,asphalt,4,35 mph
535831186,East Galbraith Road,secondary,,B,HIGH,no,A41,Galbraith,asphalt,3,35 mph
535831187,East Galbraith Road,secondary,,B,HIGH,no,A41,Galbraith,asphalt,3,35 mph
